,source,target,edge
854,10 1.000 wavelength,10 1.000 g,is
855,de Broglies we,first unit Plancks,use
856,You,kg  s2,learned
857,Thus  we,34 6.626 m2,s as
858,small  it,particle  view,is
859,size,same order atom,is
860,electron wavelike behavioris,atom,means
861,L. H. electrons,atomic  crystal,demonstrated experimentallythat
862,atomic  layers,other  interferenceexperiments,served as
863,de Broglie they,de Broglie that,used
864,below  part,interference pattern,shows
865,electron collisions,long  time,beseen in
866,smalllocalized  that,smalllocalized  packets,show clear
867,that,wavelikebehavior,emerged
868,first  observed,quantum  particles,is
869,,Commons Attribution 4.0License,Adapted from
870,,,Download for free
871,atomic massaverage mass,approximately mass number,expressed in
872,most  elements,two  isotopes,are
873,mass,naturallyoccurring  element,expressed in
874,This,fractional  abundance,is equal
875,80.1 boron %,11.0093  amu,are
876,andindividual boron atoms,amu  amu,weigh
877,Silicon,3 massesand abundances,exists as
878,,atomic 28 table,Abundance
879,atomic  mass,periodic mass ofany table,is important
880,Naturally  occurring,35.453  amu,consists of
881,two  isotopes,termsof,is
882,35 Cl mass,37 Cl Cl,is
883,that,fraction,represented
884,to  fraction,35  Cl,add
885,So  which,1.00 0.7576,have
886,Therefore  chlorine,75.76  %,consists of
887,you,occurring  twoelements,explore
888,that,questions,Follow
889,separate  occurrence,experimentally abundances instrument,determined
890,Mass spectrometry,other  material,used in
891,samples atoms,one  electrons,vaporized
892,how  path,small steel BB,pass through a(variable
893,plot,mass  ratios,detected
894,height,specifiedmass  ratio,is proportional
895,initial modernatomic MS,wide chemical applications,evolved
896,above  we,approximate percent table,determine
897,below Mass Spectrometry,4.0 Creative Commons License,Adapted from
898,,,Download for free
899,equal  numbers,reactant  sides,is
900,equation,matter,is
901,simply  they,simply  sums,confirmed by
902,number,given  formula,Note
903,given  number,each,computed
904,product species,element oxygen,contain
905,total product we,4 oxygen atoms,determine
906,following  equations,approach,confirmed
907,,molecular dinitrogen pentoxide,Write
908,,unbalanced  equation,write
909,,unbalanced  equation,count
910,changes,oxygen atoms,needed
911,that,two O atom formulas,be
912,it,reactant  2,restored by
913,so  equation,N  equation,are
914,,then  activity,Use
915,separate Balancing Chemical Equations,Introduction,https://phet.colorado.edu
916,right  you,right  Tools,use
917,It,chemical  equation,is
918,equations coefficients,fractional atom balance,multiplied by
919,balanced  convention,whole number coefficients,recall
920,indeed  coefficients,reactant  molecules,are
921,physical  states,parenthetical  formulas,indicated with
922,Common abbreviations,preceding  chapter,include
923,when sodium metal,water,represents
924,solid sodium reacts,readily compound water,solid in pure
925,necessary  reaction,sometimes  arrow,designated by
926,reaction,Greek letter arrow,indicated by
927,Other  examples,later  course,encountered in more
928,,Creative Commons Attribution,Adapted from
929,,,Download for free
930,that,same number temperature,contain
931,Thus  theratios,same gas temperature,given by
932,definite gas volumes,sametemperature,extend
933,two hydrogen volume,ammonia  gas,remain constant
934,,slide show,Press
935,Propane,gas cooking,used in
936,volume,same temperature andpressure,required to
937,propane,complete  combustion,Assume
938,\\mathrm{L\\ \imes volume,2.7  C3H8,see
939,,constant gases conditions,reactions
940,such  it,necessary gas laws,be necessary
941,'s,somesuch  problems,Let
942,volume,excessof hydrochloric excessof acid,prepared by
943,,22.4  calculation,Note
944,here  reaction,STP,work
945,gallium we,initially  H2,follow
946,,given temperatureand pressure,apply
947,steps,below g stoichiometry,seen
948,ideal gas law,H,apply
949,\\cancel{\\mathrm{atm}}\\  \\mathrm{L}\\,NEXT  slides,\imes
950,,4.0 Creative Commons License,Adapted from
951,,,Download for free
952,smallest  that,propertiesof,particle of
953,smallest  that,chemical  combination,is
954,,element example,Consider
955,how  knifemay,half,remained
956,sized  piece,Greek  atomos,is
957,longer  it,,be
958,smallest  that,propertiesof,particle of
959,so size isdifficult,,is
960,single spider strands,0.0001  diameter,are
961,impossible strand it,atomic  scale,is huge
962,0.000000015  it,7000 carbon strand,has
963,one football which,150 million carbon atom it,be larger
964,mass,atom,is
965,10  that,sensitive  balances,weigh
966,10 3 they,0.0000001  gram,require
967,It,ofindividual  atoms,is rare
968,individual gases that,independentlyof  one,consist of
969,such gases that,atoms,composed of
970,One element phosphorus,four phosphorus atoms,form
971,various  one,composedof eight sulfur atoms,exists in various
972,units,,called
973,moleculeTwo  atoms,chemical  bonds,joined
974,,strong  forces,consists of
975,atoms,key molecule ring,joined
976,two elements it,two  water,consist of
977,that,two hydrogen atoms,is
978,6 oxygen molecules,6 oxygen atoms,are
979,water molecules,inside golf balls,be about
980,Two  atoms,chemical  bonds,joined
981,We,matter  severalcategories,classify
982,broad  categories,,are
983,pure substanceA that,constant  composition,substance
984,,constant  composition,has
985,,pure  substance,specimens of
986,,51.4 % mass,sample of
987,regardless melting it,regardless melting which,has
988,that,constant  composition,substance
989,We,pure  twoclasses,divide pure
990,two dozen,laboratories,are
991,Allelements,Periodic Elements,listed on
992,islikely  you,elements,It
993,We,later Periodic thiscourse,willdiscuss
994,Pure  that,chemical changes,substances
995,compoundsPure that,substancesby chemical changes,called
996,breakdown,elements,produce
997,oxide,crystalline solid elements mercury,broken
998,When compound sucrose,element andthe compound water,broken
999,Pure  that,substancesby chemical changes,substances
1000,,free  state,properties of
1001,two elements which,itsuncombined  forms,is
1002,formsodium chloride table that,formsodium chloride table compound,combine to
1003,two  that,varying  physicalchanges,mixtureSubstance
1004,such  evaporation(you,this,composed of
1005,Italian  dressing,heterogeneous  image,is
1006,it,oil,vary
1007,theherbs,container,is
1008,separate cookie we,quartz,andgranite
1009,two  that,varying  physicalchanges,Substance
1010,that,different  parts,has
1011,that,uniform  composition,called
1012,sports electrolytes,sports water,is
1013,sports each,same  water,tastes
1014,sports varyit,orless  sugar,Note
1015,Otherexamples,homogeneous maple water,include
1016,that,uniform  composition,mixture
1017,of  millions,ofthese chemical elements,result from different
1018,definitechemical  we,othercompounds,has
1019,,different elements mixtures,are innumerable
1020,,flowchart,Drag
1021,Eleven  elements,99 theearths crust,make
1022,Oxygen,total  elements,constitutes
1023,aboutone  quarter,free  state,found in
1024,,4.0 Creative Commons License,Adapted from
1025,,,Download for free
1026,difficultto,definite  atom,makes
1027,relative  that,relative  sizes,are several
1028,atoms withinmolecules,atomic  identity,is possible
1029,we,principalquantum number principalquantum element,know
1030,that,increasingly  nucleus,beingadded to
1031,covalent we,outermost  nucleus,increase
1032,trend,halogens,illustrated for
1033,below  you,periodic covalent table,see
1034,,atomic radius bottom,Note
1035,generally  element,smaller covalent it,find
1036,atoms,asmaller atomic asmaller radius,seemcounterintuitive
1037,This,effectivenuclear  charge,explained with
1038,nuclear electronelectron charge,electronelectron hydrogen,is
1039,shielding,one,increases
1040,Thus  we,period,Zincreases
1041,closer theright thecovalent,closer theright nucleus,draws
1042,shieldthe nucleus shieldthe we,core element,is
1043,calculations,same  period,Note
1044,11 valence We,11  +1,approximate
1045,12  10,which,are
1046,,12  +2,Zeff=
1047,This,image,illustrated in
1048,attractive  that,sodium atom,indicates
1049,even Na it,moreelectrons,is
1050,graph,4.0 Creative Commons License,illustrates
1051,,,Download for free
1052,We,seven SI base quantities,derive many
1053,we,base density,use
1054,,Volume object,amount of
1055,measure,object,is
1056,standard SI unit,base length,defined by
1057,standard  volume,one edge meter,is
1058,cubic  we,one edge meter,build
1059,box,cubic  water,hold
1060,,object,amount of
1061,used  unit,decimeter,derived from
1062,cube,cubic edge decimeter,contains
1063,liter,cubic  decimeter,is
1064,One  liter,,is
1065,cubic  centimeter,one edge centimeter,is
1066,cc,often health professionals,used by
1067,cubic  centimeter,also  liter,called
1068,Volume,common  chemistry,is
1069,Below  images,common  volume,are
1070,We,density substance,use
1071,Thus  units,mass  length,defined by
1072,ratio,volume,is
1073,SI unit,cubic  meter,is
1074,inconvenient  we,g  gases,use
1075,that,19  gold,are
1076,density,air,is
1077,table,common  substances,shows
1078,straightforward  method,then  volume,involves
1079,directly  volume,indirectly length measurements,found
1080,\\mathrm{Density}\\;=\\;\\frac{\\mathrm{mass}}{\\mathrm{volume Goldin bricks,centuries,been
1081,entire gold brick,hollow gold buyers,considered
1082,dense  density,as  gold,is
1083,cube,90.7  g,is
1084,We,next  section,discuss
1085,rubber mass,rubber left,is
1086,shaped  we,water displacement,use
1087,initial  volume,30.0  mL.,recorded
1088,new  volume,example,placed in
1089,difference,final  object,is
1090,,4.0 Creative Commons License,Adapted from
1091,,,Download for free
1092,universal  it,different  substances,referred to
1093,However  substances,same  way,dissolve in
1094,look,ordinary table water,dissolved in
1095,they,different  properties,know
1096,individual  ion,water molecules,break
1097,ionic compounds constituent ions,solution,referred to
1098,NaCl,completely  water,is
1099,100  %,solution,separate into
1100,important  property,resulting  electricity,is
1101,Conductivity,such  one,tested with
1102,electric  current,anodes,allow
1103,light bulb,circuit,complete
1104,when electrolytes that,when  water,called
1105,when  it,electricity,is
1106,when water that,University PhET Interactive Colorado,substances
1107,resulting  solution,electricity,conducts
1108,Animation,University PhET Interactive Colorado,developed from
1109,ions,Na+  animation,is
1110,When sugar it,molecular  salt,does
1111,individual sugar molecules,,dissociate
1112,charged sugar solution,electricity,conduct
1113,Animation,University PhET Interactive Colorado,developed from
1114,it,animation,conduct
1115,Animation,University PhET Interactive Colorado,developed from
1116,sugar,ions,is
1117,sugar molecule,when  water,Notice in
1118,when nonelectrolytes that,when  water,referred to
1119,that,small  extent,dissociate to
1120,Acetic  acid,such  substance,is
